Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST
127,2012,Cyrus Gray (FA),7,44,6.3,15,0,0,2,3,18,9.0,0,0,10,6.2,0.6,0.0%
23,2021,D'Andre Swift (DET),151,617,4.1,57,7,5,62,78,452,7.3,2,1,13,146.9,11.3,99.9%
20,2020,D'Andre Swift (DET),114,521,4.6,54,4,8,46,57,357,7.8,2,2,13,143.8,11.1,99.9%
48,2021,D'Ernest Johnson (CLE),100,534,5.3,30,5,3,19,25,137,7.2,0,0,13,85.1,6.5,2.3%
97,2020,D'Ernest Johnson (CLE),33,166,5.0,28,3,0,3,4,14,4.7,0,0,16,18.0,1.1,2.3%
109,2019,D'Ernest Johnson (CLE),4,21,5.3,13,0,0,6,7,71,11.8,0,0,16,9.2,0.6,2.3%
50,2021,D'Onta Foreman (CAR),133,566,4.3,35,6,3,9,11,123,13.7,0,1,9,84.9,9.4,8.1%
102,2020,D'Onta Foreman (CAR),22,95,4.3,15,0,0,1,1,5,5.0,1,0,6,16.0,2.7,8.1%
109,2018,D'Onta Foreman (CAR),7,-1,-0.1,2,0,0,2,2,28,14.0,1,0,1,8.7,8.7,8.1%
66,2017,D'Onta Foreman (CAR),78,327,4.2,39,3,2,6,8,83,13.8,0,1,10,51.0,5.1,8.1%
219,2021,D'Vonte Price (IND),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
151,2020,D.J. Foster (FA),2,2,1.0,2,0,0,1,1,7,7.0,0,0,10,0.9,0.1,0.0%
177,2019,D.J. Foster (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,6,0.0,0.0,0.0%
99,2017,D.J. Foster (FA),6,19,3.2,5,0,0,17,28,133,7.8,0,0,7,15.2,2.2,0.0%
138,2016,D.J. Foster (FA),7,24,3.4,7,0,0,1,2,2,2.0,0,0,3,2.6,0.9,0.0%
110,2012,D.J. Ware (FA),11,51,4.6,17,0,0,14,20,100,7.1,0,0,14,15.1,1.1,0.0%
75,2011,D.J. Ware (FA),46,163,3.5,17,0,0,27,37,170,6.3,0,0,15,37.3,2.5,0.0%
95,2010,D.J. Ware (FA),20,73,3.7,14,0,0,7,9,67,9.6,0,0,9,14.0,1.6,0.0%
103,2009,D.J. Ware (FA),13,73,5.6,14,0,1,3,4,15,5.0,0,1,6,12.8,2.1,0.0%
141,2008,D.J. Ware (FA),2,15,7.5,9,0,0,0,0,0,0.0,0,0,2,1.5,0.8,0.0%
87,2013,Da'Rel Scott (FA),20,73,3.7,16,0,0,11,19,102,9.3,1,0,5,23.5,4.7,0.0%
151,2012,Da'Rel Scott (FA),6,9,1.5,5,0,0,0,0,0,0.0,0,0,4,0.9,0.2,0.0%
152,2011,Da'Rel Scott (FA),5,16,3.2,8,0,0,2,2,13,6.5,0,1,11,0.9,0.1,0.0%
132,2006,Daimon Shelton (FA),0,0,0.0,0,0,0,7,0,35,5.0,0,0,5,3.5,0.7,0.0%
96,2005,Daimon Shelton (FA),1,0,0.0,0,0,0,13,0,98,7.5,1,0,11,15.8,1.4,0.0%
111,2004,Daimon Shelton (FA),0,0,0.0,0,0,0,17,24,114,6.7,0,0,14,11.4,0.8,0.0%
128,2002,Daimon Shelton (FA),0,0,0.0,0,0,0,7,9,34,4.9,0,0,5,3.4,0.7,0.0%
15,2021,Dalvin Cook (MIN),249,"1,159",4.7,66,14,6,34,49,224,6.6,0,2,13,172.3,13.3,100.0%
3,2020,Dalvin Cook (MIN),312,"1,557",5.0,70,12,16,44,54,361,8.2,1,3,14,293.8,21.0,100.0%
5,2019,Dalvin Cook (MIN),250,"1,135",4.5,75,12,13,53,63,519,9.8,0,2,14,239.4,17.1,100.0%
31,2018,Dalvin Cook (MIN),133,615,4.6,70,8,2,40,49,305,7.6,2,2,11,112.0,10.2,100.0%
65,2017,Dalvin Cook (MIN),74,354,4.8,33,4,2,11,16,90,8.2,0,1,4,54.4,13.6,100.0%
129,2019,Dalyn Dawkins (FA),11,26,2.4,14,0,0,0,1,0,0.0,0,0,2,2.6,1.3,0.1%
162,2018,Dalyn Dawkins (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,0.1%
160,2021,Damarea Crockett (DEN),3,7,2.3,6,0,0,0,0,0,0.0,0,0,1,0.7,0.7,0.0%
234,2021,Dameon Pierce (HOU),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,88.1%
153,2005,Damien Anderson (FA),2,7,3.5,6,0,0,0,0,0,0.0,0,0,2,0.7,0.4,0.0%
166,2004,Damien Anderson (FA),1,2,2.0,2,0,0,0,0,0,0.0,0,0,1,0.2,0.2,0.0%
113,2003,Damien Anderson (FA),18,68,3.8,17,0,0,6,12,36,6.0,0,0,13,10.4,0.8,0.0%
111,2002,Damien Anderson (FA),24,65,2.7,14,0,0,3,7,36,12.0,0,0,7,10.1,1.4,0.0%
8,2021,Damien Harris (NE),202,929,4.6,64,14,15,18,20,132,7.3,0,2,15,192.1,12.8,92.4%
44,2020,Damien Harris (NE),137,691,5.0,41,6,2,5,7,52,10.4,0,0,10,86.3,8.6,92.4%
137,2019,Damien Harris (NE),4,12,3.0,13,0,0,0,0,0,0.0,0,0,2,1.2,0.6,92.4%
106,2006,Damien Nash (FA),18,66,3.7,26,0,0,4,0,41,10.3,0,0,3,10.7,3.6,0.0%
132,2005,Damien Nash (FA),6,32,5.3,8,0,0,3,0,14,4.7,0,0,2,4.6,2.3,0.0%
72,2021,Damien Williams (ATL),40,164,4.1,23,1,2,16,23,103,6.4,1,0,12,44.7,3.7,3.5%
34,2019,Damien Williams (ATL),111,498,4.5,91,8,5,30,37,213,7.1,2,1,11,111.1,10.1,3.5%
51,2018,Damien Williams (ATL),50,256,5.1,25,3,4,23,24,160,7.0,2,1,16,75.6,4.7,3.5%
72,2017,Damien Williams (ATL),46,181,3.9,69,1,0,20,28,155,7.8,1,0,11,39.6,3.6,3.5%
53,2016,Damien Williams (ATL),35,115,3.3,23,1,3,23,32,249,10.8,3,1,15,70.4,4.7,3.5%
96,2015,Damien Williams (ATL),16,59,3.7,19,0,0,21,28,142,6.8,1,1,16,24.1,1.5,3.5%
80,2014,Damien Williams (ATL),36,122,3.4,19,0,0,21,27,187,8.9,1,0,16,36.9,2.3,3.5%
158,2002,Damon Washington (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,7,0.0,0.0,0.0%
117,2015,Dan Herron (FA),25,79,3.2,8,0,0,9,10,47,5.2,0,0,10,12.6,1.3,0.0%
64,2014,Dan Herron (FA),78,351,4.5,49,1,1,21,26,173,8.2,0,2,16,54.4,3.4,0.0%
112,2013,Dan Herron (FA),5,33,6.6,22,1,0,1,1,57,57.0,0,0,6,9.0,1.5,0.0%
160,2012,Dan Herron (FA),4,5,1.3,6,0,0,0,1,0,0.0,0,0,3,0.5,0.2,0.0%
136,2009,Dan Kreider (FA),0,0,0.0,0,0,0,4,6,20,5.0,0,0,6,2.0,0.3,0.0%
158,2008,Dan Kreider (FA),1,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,0.0%
138,2007,Dan Kreider (FA),1,2,2.0,2,0,0,0,0,0,0.0,0,0,1,0.2,0.2,0.0%
117,2006,Dan Kreider (FA),1,5,5.0,5,0,0,8,0,62,7.8,0,0,6,6.7,1.1,0.0%
127,2005,Dan Kreider (FA),3,21,7.0,12,0,0,7,3,43,6.1,0,0,8,6.4,0.8,0.0%
100,2004,Dan Kreider (FA),4,18,4.5,6,0,0,10,14,75,7.5,1,0,11,15.3,1.4,0.0%
96,2003,Dan Kreider (FA),7,29,4.1,9,0,1,9,24,107,11.9,0,0,15,19.6,1.3,0.0%
90,2002,Dan Kreider (FA),6,16,2.7,5,0,0,18,25,122,6.8,1,0,14,21.8,1.6,0.0%
171,2017,Daniel Lasco (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,3,0.0,0.0,0.0%
131,2016,Daniel Lasco (FA),11,32,2.9,6,0,0,2,4,11,5.5,0,0,7,4.3,0.6,0.0%
77,2014,Daniel Thomas (FA),44,168,3.8,15,0,2,13,19,121,9.3,0,1,12,40.9,3.4,0.0%
45,2013,Daniel Thomas (FA),109,406,3.7,55,1,4,15,17,63,4.2,2,0,15,82.9,5.5,0.0%
46,2012,Daniel Thomas (FA),91,325,3.6,20,2,4,15,22,156,10.4,0,2,12,68.1,5.7,0.0%
50,2011,Daniel Thomas (FA),165,581,3.5,28,0,0,12,16,72,6.0,1,1,13,69.3,5.3,0.0%
107,2019,Danny Vitale (FA),1,3,3.0,3,0,0,7,12,97,13.9,0,0,15,10.0,0.7,0.0%
152,2018,Danny Vitale (FA),0,0,0.0,0,0,0,1,2,2,2.0,0,0,5,0.2,0.0,0.0%
146,2017,Danny Vitale (FA),0,0,0.0,0,0,0,3,5,19,6.3,0,0,15,1.9,0.1,0.0%
137,2016,Danny Vitale (FA),0,0,0.0,0,0,0,4,5,27,6.8,0,0,9,2.7,0.3,0.0%
89,2017,Danny Woodhead (FA),14,56,4.0,10,0,0,33,39,200,6.1,0,0,8,25.6,3.2,20.6%
93,2016,Danny Woodhead (FA),19,116,6.1,23,2,0,6,8,35,5.8,1,0,2,21.1,10.6,20.6%
11,2015,Danny Woodhead (FA),98,336,3.4,27,1,3,80,106,755,9.4,6,0,16,163.1,10.2,20.6%
130,2014,Danny Woodhead (FA),15,38,2.5,13,0,0,5,6,34,6.8,0,0,3,7.2,2.4,20.6%
19,2013,Danny Woodhead (FA),106,429,4.0,14,0,2,76,87,605,8.0,6,2,16,147.4,9.2,20.6%
24,2012,Danny Woodhead (FA),76,301,4.0,19,0,4,40,55,446,11.2,3,0,16,116.7,7.3,20.6%
53,2011,Danny Woodhead (FA),77,351,4.6,12,0,1,18,31,157,8.7,0,0,15,60.8,4.1,20.6%
29,2010,Danny Woodhead (FA),97,547,5.6,36,0,5,34,44,379,11.1,1,1,15,126.6,8.4,20.6%
95,2009,Danny Woodhead (FA),15,64,4.3,16,0,0,8,14,87,10.9,0,0,10,15.1,1.5,20.6%
165,2004,Dante Brown (FA),1,2,2.0,2,0,0,0,0,0,0.0,0,0,1,0.2,0.2,0.0%
112,2008,Dante Hall (FA),0,0,0.0,0,0,0,6,0,71,11.8,0,0,4,7.1,1.8,0.0%
117,2007,Dante Hall (FA),1,8,8.0,8,0,0,4,0,27,6.8,0,0,5,3.5,0.7,0.0%
67,2006,Dante Hall (FA),3,11,3.7,9,0,0,26,0,204,7.8,2,0,15,33.5,2.2,0.0%
55,2005,Dante Hall (FA),7,11,1.6,7,0,0,34,0,436,12.8,3,0,16,62.7,3.9,0.0%
84,2004,Dante Hall (FA),8,56,7.0,17,0,0,25,38,230,9.2,0,1,16,26.6,1.7,0.0%
56,2003,Dante Hall (FA),16,73,4.6,16,0,0,40,60,423,10.6,1,1,16,53.6,3.4,0.0%
54,2002,Dante Hall (FA),11,54,4.9,21,0,0,20,35,322,16.1,3,1,16,53.6,3.4,0.0%
244,2021,Dantrell Savage (CAR),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
80,2021,Dare Ogunbowale (HOU),43,137,3.2,12,0,1,13,21,114,8.8,1,0,13,37.1,2.9,0.4%
95,2020,Dare Ogunbowale (HOU),32,145,4.5,25,1,0,10,20,54,5.4,0,0,14,19.9,1.4,0.4%
73,2019,Dare Ogunbowale (HOU),11,17,1.5,12,0,2,35,46,286,8.2,0,1,16,40.3,2.5,0.4%
159,2018,Dare Ogunbowale (HOU),0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,0.4%
160,2017,Dare Ogunbowale (HOU),0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,0.4%
151,2008,Darian Barnes (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,0.0%
138,2006,Darian Barnes (FA),0,0,0.0,0,0,0,3,0,22,7.3,0,0,5,2.2,0.4,0.0%
170,2005,Darian Barnes (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
106,2004,Darian Barnes (FA),5,10,2.0,8,0,0,10,14,59,5.9,1,0,13,12.9,1.0,0.0%
152,2003,Darian Barnes (FA),0,0,0.0,0,0,0,1,1,6,6.0,0,0,7,0.6,0.1,0.0%
167,2002,Darian Barnes (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,0.0%
170,2021,Darius Anderson (HOU),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
173,2021,Darius Bradwell (FA),0,0,0.0,0,0,0,0,1,0,0.0,0,0,2,0.0,0.0,0.0%
170,2020,Darius Bradwell (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,0.0%
140,2018,Darius Jackson (FA),6,16,2.7,4,0,0,0,1,0,0.0,0,0,4,1.6,0.4,0.0%
181,2013,Darius Reynaud (FA),1,0,0.0,0,0,0,1,2,4,4.0,0,1,9,-1.6,-0.2,0.0%
126,2012,Darius Reynaud (FA),16,33,2.1,11,0,0,5,9,35,7.0,0,0,16,6.8,0.4,0.0%
162,2010,Darius Reynaud (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,9,0.0,0.0,0.0%
157,2009,Darius Reynaud (FA),0,0,0.0,0,0,0,0,2,0,0.0,0,0,11,0.0,0.0,0.0%
157,2008,Darius Reynaud (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,3,0.0,0.0,0.0%
22,2021,Darrel Williams (ARI),144,558,3.9,21,1,6,47,57,452,9.6,2,0,17,149.0,8.8,6.5%
79,2020,Darrel Williams (ARI),39,169,4.3,13,0,1,18,26,116,6.4,0,0,16,36.5,2.3,6.5%
60,2019,Darrel Williams (ARI),41,141,3.4,41,3,3,15,20,167,11.1,1,1,12,52.8,4.4,6.5%
100,2018,Darrel Williams (ARI),13,44,3.4,8,0,0,3,3,27,9.0,1,0,6,13.1,2.2,6.5%
141,2015,Darrel Young (FA),6,10,1.7,5,0,0,6,6,22,3.7,0,0,16,3.2,0.2,0.0%
78,2014,Darrel Young (FA),9,22,2.4,14,0,3,11,14,81,7.4,2,0,16,40.3,2.5,0.0%
73,2013,Darrel Young (FA),12,41,3.4,19,0,3,4,9,71,17.8,1,0,13,35.2,2.7,0.0%
85,2012,Darrel Young (FA),14,60,4.3,16,0,0,8,9,109,13.6,2,0,16,28.9,1.8,0.0%
89,2011,Darrel Young (FA),6,33,5.5,12,0,1,15,20,146,9.7,0,0,13,23.9,1.8,0.0%
115,2010,Darrel Young (FA),4,19,4.8,16,0,0,1,1,3,3.0,1,0,16,8.2,0.5,0.0%
26,2021,Darrell Henderson Jr. (LAR),149,688,4.6,29,1,5,29,40,176,6.1,3,0,12,134.4,11.2,58.9%
31,2020,Darrell Henderson Jr. (LAR),138,624,4.5,40,6,5,16,24,159,9.9,1,0,15,114.3,7.6,58.9%
94,2019,Darrell Henderson Jr. (LAR),39,147,3.8,22,1,0,4,6,37,9.3,0,0,13,18.4,1.4,58.9%
174,2017,Darren McFadden (FA),1,-2,-2.0,0,0,0,0,0,0,0.0,0,0,1,-0.2,-0.2,7.0%
114,2016,Darren McFadden (FA),24,87,3.6,24,1,0,3,5,17,5.7,0,0,3,10.4,3.5,7.0%
13,2015,Darren McFadden (FA),239,"1,089",4.6,50,9,3,40,53,328,8.2,0,3,16,155.7,9.7,7.0%
39,2014,Darren McFadden (FA),155,534,3.4,25,1,2,36,56,212,5.9,0,1,16,84.6,5.3,7.0%
47,2013,Darren McFadden (FA),114,379,3.3,30,4,5,17,25,108,6.4,0,1,10,81.3,8.1,7.0%
28,2012,Darren McFadden (FA),216,707,3.3,64,4,2,42,62,258,6.1,1,2,12,110.5,9.2,7.0%
34,2011,Darren McFadden (FA),113,614,5.4,70,0,4,19,23,154,8.1,1,1,7,104.8,15.0,7.0%
6,2010,Darren McFadden (FA),223,"1,157",5.2,57,0,7,47,61,507,10.8,3,3,13,220.4,17.0,7.0%
56,2009,Darren McFadden (FA),104,357,3.4,28,0,1,21,36,245,11.7,0,3,12,60.2,5.0,7.0%
38,2008,Darren McFadden (FA),113,499,4.4,50,0,4,29,0,285,9.8,0,0,13,102.4,7.9,7.0%
102,2019,Darren Sproles (FA),17,66,3.9,17,0,0,6,10,24,4.0,0,0,6,11.0,1.8,0.1%
73,2018,Darren Sproles (FA),29,120,4.1,17,0,1,15,23,160,10.7,2,0,6,46.0,7.7,0.1%
110,2017,Darren Sproles (FA),15,61,4.1,12,0,0,7,12,73,10.4,0,1,3,11.4,3.8,0.1%
30,2016,Darren Sproles (FA),94,438,4.7,25,1,2,52,71,427,8.2,2,0,15,110.5,7.4,0.1%
41,2015,Darren Sproles (FA),83,317,3.8,27,1,3,55,83,388,7.1,1,0,16,94.5,5.9,0.1%
31,2014,Darren Sproles (FA),57,329,5.8,49,2,6,40,62,387,9.7,0,1,15,105.6,7.0,0.1%
36,2013,Darren Sproles (FA),53,220,4.2,38,1,2,71,89,604,8.5,2,2,15,102.4,6.8,0.1%
22,2012,Darren Sproles (FA),48,244,5.1,47,2,1,75,104,667,8.9,7,0,13,141.1,10.9,0.1%
10,2011,Darren Sproles (FA),87,603,6.9,36,0,2,86,112,710,8.3,7,0,16,185.3,11.6,0.1%
45,2010,Darren Sproles (FA),50,267,5.3,34,0,0,59,75,520,8.8,2,3,16,84.7,5.3,0.1%
34,2009,Darren Sproles (FA),93,343,3.7,21,0,3,45,57,497,11.0,4,1,16,124.0,7.8,0.1%
37,2008,Darren Sproles (FA),61,330,5.4,37,0,1,29,0,342,11.8,5,0,16,103.2,6.5,0.1%
61,2007,Darren Sproles (FA),37,164,4.4,34,0,2,10,0,31,3.1,0,0,15,31.5,2.1,0.1%
129,2005,Darren Sproles (FA),8,50,6.3,21,0,0,3,0,10,3.3,0,0,15,6.0,0.4,0.1%
117,2014,Darrin Reaves (FA),31,78,2.5,9,0,0,5,8,31,6.2,0,0,6,10.9,1.8,0.0%
148,2021,Darrynton Evans (CHI),2,7,3.5,5,0,0,2,2,11,5.5,0,0,2,1.8,0.9,0.0%
108,2020,Darrynton Evans (CHI),14,54,3.9,9,0,0,2,4,27,13.5,1,0,5,14.1,2.8,0.0%
179,2021,Darwin Thompson (SEA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,0.0%
87,2020,Darwin Thompson (SEA),27,97,3.6,14,0,1,7,11,65,9.3,1,1,13,26.2,2.0,0.0%
89,2019,Darwin Thompson (SEA),37,128,3.5,12,0,1,9,10,43,4.8,0,0,12,23.1,1.9,0.0%
157,2016,Daryl Richardson (FA),2,7,3.5,6,0,0,0,0,0,0.0,0,0,3,0.7,0.2,0.0%
79,2013,Daryl Richardson (FA),69,215,3.1,14,0,0,14,18,121,8.6,0,0,8,33.6,4.2,0.0%
52,2012,Daryl Richardson (FA),98,475,4.8,53,4,0,24,36,163,6.8,0,2,16,61.8,3.9,0.0%
104,2015,David Cobb (FA),52,146,2.8,12,0,1,1,2,-2,-2.0,0,0,7,20.4,2.9,0.0%
188,2019,David Fluellen (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,0.0%
139,2018,David Fluellen (FA),4,16,4.0,13,0,0,0,0,0,0.0,0,0,7,1.6,0.2,0.0%
143,2017,David Fluellen (FA),4,21,5.3,10,0,0,0,1,0,0.0,0,0,16,2.1,0.1,0.0%
67,2021,David Johnson (FA),67,228,3.4,15,0,0,32,42,225,7.0,1,1,13,49.3,3.8,0.1%
19,2020,David Johnson (FA),147,691,4.7,48,7,6,33,46,314,9.5,2,1,12,146.5,12.2,0.1%
37,2019,David Johnson (FA),94,345,3.7,18,0,2,36,47,370,10.3,4,1,13,105.5,8.1,0.1%
10,2018,David Johnson (FA),258,940,3.6,53,5,7,50,76,446,8.9,3,2,16,196.6,12.3,0.1%
121,2017,David Johnson (FA),11,23,2.1,6,0,0,6,9,67,11.2,0,1,1,7.0,7.0,0.1%
1,2016,David Johnson (FA),293,"1,239",4.2,58,6,16,80,120,879,11.0,4,3,16,327.8,20.5,0.1%
7,2015,David Johnson (FA),125,581,4.6,47,3,8,36,57,457,12.7,4,1,16,173.8,10.9,0.1%
20,2021,David Montgomery (CHI),225,849,3.8,41,7,7,42,51,301,7.2,0,1,14,154.0,11.0,98.0%
6,2020,David Montgomery (CHI),247,"1,070",4.3,80,12,8,54,68,438,8.1,2,1,15,210.8,14.1,98.0%
22,2019,David Montgomery (CHI),242,889,3.7,55,6,6,25,35,185,7.4,1,2,16,145.4,9.1,98.0%
125,2018,David Williams (FA),8,36,4.5,15,0,0,0,0,0,0.0,0,0,6,3.6,0.6,0.0%
99,2013,David Wilson (FA),44,146,3.3,18,0,1,2,6,8,4.0,0,2,5,17.4,3.5,0.0%
47,2012,David Wilson (FA),71,358,5.0,52,5,4,4,9,34,8.5,1,1,16,67.2,4.2,0.0%
173,2018,De'Angelo Henderson Sr. (FA),2,19,9.5,13,0,0,0,0,0,0.0,0,1,3,-0.1,-0.0,0.0%
113,2017,De'Angelo Henderson Sr. (FA),7,13,1.9,5,0,0,2,2,36,18.0,1,0,5,10.9,2.2,0.0%
146,2019,De'Lance Turner (FA),4,6,1.5,5,0,0,0,0,0,0.0,0,0,9,0.6,0.1,0.1%
134,2018,De'Lance Turner (FA),1,4,4.0,4,0,0,2,2,17,8.5,0,0,4,2.1,0.5,0.1%
138,2017,De'Veon Smith (FA),0,0,0.0,0,0,0,3,3,27,9.0,0,0,5,2.7,0.5,0.0%
168,2005,DeAndra Cobb (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,3,0.0,0.0,0.0%
113,2020,DeAndre Washington (FA),31,91,2.9,16,0,0,5,10,30,6.0,0,0,4,12.1,3.0,11.0%
42,2019,DeAndre Washington (FA),108,387,3.6,36,2,3,36,41,292,8.1,0,0,16,85.9,5.4,11.0%
103,2018,DeAndre Washington (FA),30,115,3.8,13,0,0,1,1,9,9.0,0,1,10,10.4,1.0,11.0%
67,2017,DeAndre Washington (FA),57,153,2.7,11,0,2,34,45,197,5.8,1,1,15,51.0,3.4,11.0%
54,2016,DeAndre Washington (FA),87,467,5.4,30,7,2,17,23,115,6.8,0,1,14,68.2,4.9,11.0%
46,2016,DeAngelo Williams (FA),98,343,3.5,17,0,4,18,27,118,6.6,2,0,9,82.1,9.1,0.1%
4,2015,DeAngelo Williams (FA),200,907,4.5,55,6,11,40,47,367,9.2,0,2,16,191.4,12.0,0.1%
90,2014,DeAngelo Williams (FA),62,219,3.5,17,0,0,5,6,44,8.8,0,1,6,24.3,4.1,0.1%
22,2013,DeAngelo Williams (FA),201,843,4.2,43,6,3,26,36,333,12.8,1,2,15,137.6,9.2,0.1%
23,2012,DeAngelo Williams (FA),173,737,4.3,65,5,5,13,20,187,14.4,2,2,16,130.4,8.2,0.1%
26,2011,DeAngelo Williams (FA),155,836,5.4,74,0,7,16,25,135,8.4,0,0,16,139.1,8.7,0.1%
62,2010,DeAngelo Williams (FA),87,361,4.1,39,0,1,11,13,61,5.5,0,1,6,46.2,7.7,0.1%
14,2009,DeAngelo Williams (FA),216,"1,117",5.2,77,0,7,29,41,252,8.7,0,3,13,174.9,13.5,0.1%
1,2008,DeAngelo Williams (FA),273,"1,515",5.5,69,0,18,22,3,121,5.5,2,0,16,285.6,17.9,0.1%
14,2007,DeAngelo Williams (FA),144,717,5.0,75,0,4,23,6,175,7.6,1,0,16,119.2,7.5,0.1%
41,2006,DeAngelo Williams (FA),121,501,4.1,31,0,1,33,0,313,9.5,1,0,13,93.4,7.2,0.1%
109,2007,DeDe Dorsey (FA),7,23,3.3,7,0,0,2,0,26,13.0,0,0,3,4.9,1.6,0.0%
163,2006,DeDe Dorsey (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
135,2006,Dee Brown (FA),10,24,2.4,7,0,0,1,0,5,5.0,0,0,12,2.9,0.2,0.0%
108,2005,Dee Brown (FA),7,21,3.0,7,0,0,3,0,23,7.7,1,0,7,10.4,1.5,0.0%
172,2004,Dee Brown (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,5,0.0,0.0,0.0%
162,2003,Dee Brown (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
46,2002,Dee Brown (FA),102,360,3.5,24,0,4,17,33,86,5.1,1,3,12,66.6,5.6,0.0%
79,2021,DeeJay Dallas (SEA),33,138,4.2,15,0,2,21,23,133,6.3,0,0,17,39.1,2.3,0.7%
75,2020,DeeJay Dallas (SEA),34,108,3.2,13,0,2,17,20,111,6.5,1,0,12,39.9,3.3,0.7%
124,2013,Deji Karim (FA),12,51,4.3,14,0,0,1,2,-1,-1.0,0,0,7,5.0,0.7,0.0%
179,2012,Deji Karim (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,3,0.0,0.0,0.0%
88,2011,Deji Karim (FA),63,130,2.1,14,0,0,14,19,120,8.6,0,0,12,25.0,2.1,0.0%
90,2010,Deji Karim (FA),35,160,4.6,15,0,0,3,7,10,3.3,0,0,11,17.0,1.5,0.0%
176,2013,Delone Carter (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
81,2012,Delone Carter (FA),32,122,3.8,20,1,3,1,2,13,13.0,0,0,10,31.5,3.2,0.0%
68,2011,Delone Carter (FA),101,377,3.7,42,0,2,5,8,18,3.6,0,3,16,45.5,2.8,0.0%
141,2003,Delvin Joyce (FA),11,39,3.5,8,0,0,3,5,7,2.3,0,1,14,2.6,0.2,0.0%
172,2002,Delvin Joyce (FA),2,2,1.0,1,0,0,1,2,5,5.0,0,1,12,-1.3,-0.1,0.0%
23,2017,DeMarco Murray (FA),184,659,3.6,75,3,6,39,47,266,6.8,1,1,15,132.5,8.8,0.1%
5,2016,DeMarco Murray (FA),293,"1,287",4.4,75,4,9,53,67,377,7.1,3,1,16,240.8,15.1,0.1%
18,2015,DeMarco Murray (FA),193,702,3.6,54,5,6,44,55,322,7.3,1,2,15,140.4,9.4,0.1%
1,2014,DeMarco Murray (FA),392,"1,845",4.7,51,15,13,57,64,416,7.3,0,5,16,294.1,18.4,0.1%
7,2013,DeMarco Murray (FA),217,"1,121",5.2,43,8,9,53,66,350,6.6,1,1,14,205.1,14.7,0.1%
27,2012,DeMarco Murray (FA),161,663,4.1,48,5,4,35,42,251,7.2,0,2,10,111.4,11.1,0.1%
29,2011,DeMarco Murray (FA),164,897,5.5,91,0,2,26,35,183,7.0,0,0,13,120.0,9.2,0.1%
88,2021,Demetric Felton Jr. (CLE),7,24,3.4,12,0,0,18,21,181,10.1,2,0,15,32.5,2.2,0.1%
100,2016,Denard Robinson (FA),41,144,3.5,9,0,0,3,5,22,7.3,0,0,13,16.6,1.3,0.2%
72,2015,Denard Robinson (FA),67,266,4.0,31,1,1,21,30,164,7.8,0,1,13,47.0,3.6,0.2%
36,2014,Denard Robinson (FA),135,582,4.3,41,4,4,23,31,124,5.4,0,2,13,90.6,7.0,0.2%
140,2013,Denard Robinson (FA),20,66,3.3,24,1,0,0,1,0,0.0,0,2,16,2.6,0.2,0.2%
88,2013,Dennis Johnson (FA),49,183,3.7,29,1,0,8,12,46,5.8,0,0,8,22.9,2.9,0.0%
152,2002,Dennis McKinley (FA),0,0,0.0,0,0,0,0,1,0,0.0,0,0,5,0.0,0.0,0.0%
146,2009,Deon Anderson (FA),0,0,0.0,0,0,0,1,3,5,5.0,0,0,9,0.5,0.1,0.0%
113,2008,Deon Anderson (FA),2,3,1.5,3,0,0,2,0,7,3.5,1,0,8,7.0,0.9,0.0%
